== Defect Detection in Semiconductor Wafers Using Image Classification ==
[i] Loading dataset from file
[i] Initializing model
[i] Using device: cuda
[i] Prepare dataloader
[i] Beginning training loop
Epoch [1/150], 	Loss: 0.8561, Accuracy: 0.5689
Epoch [2/150], 	Loss: 0.7643, Accuracy: 0.6012
Epoch [3/150], 	Loss: 0.7361, Accuracy: 0.6108
Epoch [4/150], 	Loss: 0.7154, Accuracy: 0.6257
Epoch [5/150], 	Loss: 0.6984, Accuracy: 0.6323
Epoch [6/150], 	Loss: 0.6773, Accuracy: 0.6380
Epoch [7/150], 	Loss: 0.6717, Accuracy: 0.6399
Epoch [8/150], 	Loss: 0.6527, Accuracy: 0.6436
Epoch [9/150], 	Loss: 0.6368, Accuracy: 0.6546
Epoch [10/150], 	Loss: 0.6212, Accuracy: 0.6585
Epoch [11/150], 	Loss: 0.6172, Accuracy: 0.6597
Epoch [12/150], 	Loss: 0.6045, Accuracy: 0.6651
Epoch [13/150], 	Loss: 0.5867, Accuracy: 0.6746
Epoch [14/150], 	Loss: 0.5778, Accuracy: 0.6737
Epoch [15/150], 	Loss: 0.5853, Accuracy: 0.6747
Epoch [16/150], 	Loss: 0.5785, Accuracy: 0.6753
Epoch [17/150], 	Loss: 0.5672, Accuracy: 0.6794
Epoch [18/150], 	Loss: 0.5731, Accuracy: 0.6782
Epoch [19/150], 	Loss: 0.5731, Accuracy: 0.6759
Epoch [20/150], 	Loss: 0.5678, Accuracy: 0.6807
Epoch [21/150], 	Loss: 0.5541, Accuracy: 0.6867
Epoch [22/150], 	Loss: 0.5563, Accuracy: 0.6807
Epoch [23/150], 	Loss: 0.5486, Accuracy: 0.6867
Epoch [24/150], 	Loss: 0.5438, Accuracy: 0.6912
Epoch [25/150], 	Loss: 0.5534, Accuracy: 0.6861
Epoch [26/150], 	Loss: 0.5336, Accuracy: 0.6958
Epoch [27/150], 	Loss: 0.5388, Accuracy: 0.6941
Epoch [28/150], 	Loss: 0.5318, Accuracy: 0.6988
Epoch [29/150], 	Loss: 0.5352, Accuracy: 0.6932
Epoch [30/150], 	Loss: 0.5336, Accuracy: 0.6908
Epoch [31/150], 	Loss: 0.5243, Accuracy: 0.7004
Epoch [32/150], 	Loss: 0.5234, Accuracy: 0.7038
Epoch [33/150], 	Loss: 0.5253, Accuracy: 0.7008
Epoch [34/150], 	Loss: 0.5311, Accuracy: 0.6963
Epoch [35/150], 	Loss: 0.5212, Accuracy: 0.7020
Epoch [36/150], 	Loss: 0.5260, Accuracy: 0.6993
Epoch [37/150], 	Loss: 0.5216, Accuracy: 0.7007
Epoch [38/150], 	Loss: 0.5177, Accuracy: 0.7051
Epoch [39/150], 	Loss: 0.5171, Accuracy: 0.7044
Epoch [40/150], 	Loss: 0.5167, Accuracy: 0.7057
Epoch [41/150], 	Loss: 0.5170, Accuracy: 0.7068
Epoch [42/150], 	Loss: 0.5170, Accuracy: 0.7071
Epoch [43/150], 	Loss: 0.5101, Accuracy: 0.7066
Epoch [44/150], 	Loss: 0.5098, Accuracy: 0.7053
Epoch [45/150], 	Loss: 0.5067, Accuracy: 0.7130
Epoch [46/150], 	Loss: 0.5146, Accuracy: 0.7046
Epoch [47/150], 	Loss: 0.5196, Accuracy: 0.7031
Epoch [48/150], 	Loss: 0.5128, Accuracy: 0.7067
Epoch [49/150], 	Loss: 0.5101, Accuracy: 0.7090
Epoch [50/150], 	Loss: 0.5045, Accuracy: 0.7134
Epoch [51/150], 	Loss: 0.4970, Accuracy: 0.7152
Epoch [52/150], 	Loss: 0.5014, Accuracy: 0.7154
Epoch [53/150], 	Loss: 0.4970, Accuracy: 0.7137
Epoch [54/150], 	Loss: 0.5012, Accuracy: 0.7143
Epoch [55/150], 	Loss: 0.5009, Accuracy: 0.7167
