== Defect Detection in Semiconductor Wafers Using Image Classification ==
[i] Loading dataset from file
[i] Initializing model
[i] Using device: cuda
[i] Using CosineAnnealingWarmRestarts scheduler
[i] Prepare dataloader
[i] Beginning training loop
Epoch [1/200], 	Loss: 0.8582, Accuracy: 0.5673
Epoch [2/200], 	Loss: 0.7637, Accuracy: 0.5986
Epoch [3/200], 	Loss: 0.7320, Accuracy: 0.6167
Epoch [4/200], 	Loss: 0.7126, Accuracy: 0.6238
Epoch [5/200], 	Loss: 0.6851, Accuracy: 0.6340
Epoch [6/200], 	Loss: 0.6695, Accuracy: 0.6402
Epoch [7/200], 	Loss: 0.6573, Accuracy: 0.6430
Epoch [8/200], 	Loss: 0.6453, Accuracy: 0.6541
Epoch [9/200], 	Loss: 0.6389, Accuracy: 0.6519
Epoch [10/200], 	Loss: 0.6280, Accuracy: 0.6587
Epoch [11/200], 	Loss: 0.6264, Accuracy: 0.6595
Epoch [12/200], 	Loss: 0.6664, Accuracy: 0.6381
Epoch [13/200], 	Loss: 0.6434, Accuracy: 0.6506
Epoch [14/200], 	Loss: 0.6405, Accuracy: 0.6504
Epoch [15/200], 	Loss: 0.6147, Accuracy: 0.6599
Epoch [16/200], 	Loss: 0.6034, Accuracy: 0.6662
Epoch [17/200], 	Loss: 0.5873, Accuracy: 0.6719
Epoch [18/200], 	Loss: 0.5796, Accuracy: 0.6803
Epoch [19/200], 	Loss: 0.5747, Accuracy: 0.6759
Epoch [20/200], 	Loss: 0.5728, Accuracy: 0.6773
Epoch [21/200], 	Loss: 0.5717, Accuracy: 0.6810
Epoch [22/200], 	Loss: 0.5559, Accuracy: 0.6864
Epoch [23/200], 	Loss: 0.5544, Accuracy: 0.6845
Epoch [24/200], 	Loss: 0.5531, Accuracy: 0.6845
Epoch [25/200], 	Loss: 0.5469, Accuracy: 0.6894
Epoch [26/200], 	Loss: 0.5418, Accuracy: 0.6905
Epoch [27/200], 	Loss: 0.5413, Accuracy: 0.6915
Epoch [28/200], 	Loss: 0.5397, Accuracy: 0.6937
Epoch [29/200], 	Loss: 0.5382, Accuracy: 0.6938
Epoch [30/200], 	Loss: 0.5392, Accuracy: 0.6930
Epoch [31/200], 	Loss: 0.5311, Accuracy: 0.6972
Epoch [32/200], 	Loss: 0.5701, Accuracy: 0.6781
Epoch [33/200], 	Loss: 0.5699, Accuracy: 0.6788
Epoch [34/200], 	Loss: 0.5616, Accuracy: 0.6862
Epoch [35/200], 	Loss: 0.5569, Accuracy: 0.6848
Epoch [36/200], 	Loss: 0.5568, Accuracy: 0.6877
Epoch [37/200], 	Loss: 0.5600, Accuracy: 0.6870
Epoch [38/200], 	Loss: 0.5520, Accuracy: 0.6891
Epoch [39/200], 	Loss: 0.5435, Accuracy: 0.6887
Epoch [40/200], 	Loss: 0.5507, Accuracy: 0.6878
Epoch [41/200], 	Loss: 0.5425, Accuracy: 0.6941
Epoch [42/200], 	Loss: 0.5459, Accuracy: 0.6914
Epoch [43/200], 	Loss: 0.5359, Accuracy: 0.6953
Epoch [44/200], 	Loss: 0.5338, Accuracy: 0.6967
Epoch [45/200], 	Loss: 0.5343, Accuracy: 0.6934
Epoch [46/200], 	Loss: 0.5295, Accuracy: 0.7031
Epoch [47/200], 	Loss: 0.5259, Accuracy: 0.6972
Epoch [48/200], 	Loss: 0.5237, Accuracy: 0.7016
Epoch [49/200], 	Loss: 0.5159, Accuracy: 0.7062
